iter	Passed	Remaining
804	4456	1079
805	4460	1073
806	4464	1067
807	4468	1061
808	4478	1057
809	4483	1051
810	4491	1046
811	4496	1041
812	4501	1035
813	4507	1029
814	4511	1024
815	4515	1018
816	4522	1012
817	4527	1007
818	4531	1001
819	4537	995
820	4542	990
821	4546	984
822	4550	978
823	4556	973
824	4561	967
825	4564	961
826	4570	956
827	4574	950
828	4578	944
829	4582	938
830	4588	933
831	4593	927
832	4597	921
833	4604	916
834	4608	910
835	4612	904
836	4616	899
837	4621	893
838	4625	887
839	4629	881
840	4636	876
841	4641	870
842	4645	865
843	4652	859
844	4657	854
845	4661	848
846	4665	842
847	4671	837
848	4675	831
849	4680	825
850	4686	820
851	4691	814
852	4695	809
853	4701	803
854	4706	798
855	4711	792
856	4717	787
857	4722	781
858	4727	775
859	4733	770
860	4737	764
861	4742	759
862	4746	753
863	4751	747
864	4756	742
865	4761	736
866	4767	731
867	4775	726
868	4788	721
869	4796	716
870	4803	711
871	4808	705
872	4815	700
873	4820	694
874	4824	689
875	4828	683
876	4834	678
877	4838	672
878	4842	666
879	4848	661
880	4853	655
881	4858	649
882	4864	644
883	4869	638
884	4874	633
885	4882	628
886	4888	622
887	4893	617
888	4899	611
889	4904	606
890	4908	600
891	4913	594
892	4918	589
893	4922	583
894	4926	577
895	4931	572
896	4936	566
897	4940	561
898	4945	555
899	4950	550
900	4955	544
901	4961	539
902	4966	533
903	4971	527
904	4977	522
905	4983	517
906	4988	511
907	4995	506
908	5000	500
909	5005	495
910	5011	489
911	5016	484
912	5021	478
913	5028	473
914	5034	467
915	5039	462
916	5046	456
917	5050	451
918	5053	445
919	5060	440
920	5064	434
921	5068	428
922	5072	423
923	5078	417
924	5082	412
925	5086	406
926	5092	400
927	5096	395
928	5100	389
929	5104	384
930	5109	378
931	5114	373
932	5119	367
933	5125	362
934	5130	356
935	5135	351
936	5141	345
937	5145	340
938	5150	334
939	5155	329
940	5160	323
941	5165	318
942	5169	312
943	5175	306
944	5180	301
945	5185	295
946	5192	290
947	5198	285
948	5203	279
949	5210	274
950	5213	268
951	5218	263
952	5225	257
953	5229	252
954	5233	246
955	5239	241
956	5242	235
957	5246	230
958	5252	224
959	5258	219
960	5262	213
961	5266	208
962	5272	202
963	5276	197
964	5280	191
965	5286	186
966	5290	180
967	5294	175
968	5298	169
969	5303	164
970	5316	158
971	5323	153
972	5331	147
973	5337	142
974	5342	136
975	5350	131
976	5354	126
977	5359	120
978	5366	115
979	5370	109
980	5376	104
981	5381	98
982	5386	93
983	5390	87
984	5395	82
985	5399	76
986	5403	71
987	5408	65
988	5413	60
989	5417	54
990	5421	49
991	5428	43
992	5432	38
993	5435	32
994	5442	27
995	5447	21
996	5451	16
997	5456	10
998	5461	5
999	5465	0
